scenario,traffic_id,case_id,seed,avg_power_unit,energy_unit_ms,arrived_count,delivered_count,pdb_satisfied_count,pdb_eligible_count,completion_rate,pdb_ratio,delay_mean_ms,delay_samples_json,traffic_sha256
service_rate_400_mbps,FTP3,1-6,2008,36.723201805,23502.8491552,6,6,3,3,1.0,1.0,21.77315333333333,"[24.445403,27.79287,10.000003,21.684676,24.027017,22.688951]",45c1d238c9fab5a637dd04b45080ee199513a0c25b327a909d8cd841b219c80d
service_rate_400_mbps,IM,1-1,2001,10.209,32668.8,1,1,1,1,1.0,1.0,177.445692,[177.445692],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_400_mbps,IM,1-1,2002,16.3075625,52184.2,4,4,3,4,1.0,0.75,185.0098195,"[85.152378,220.891404,128.097326,305.89817]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_400_mbps,IM,1-1,2003,7.253125,23210.0,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_400_mbps,IM,1-1,2004,13.164875000000002,42127.600000000006,2,2,2,2,1.0,1.0,110.443659,"[30.008126,190.879192]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_400_mbps,IM,1-1,2005,10.209,32668.8,1,1,1,1,1.0,1.0,172.176993,[172.176993],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_400_mbps,IM,1-1,2006,16.1464555855,51668.6578736,3,3,2,3,1.0,0.6666666666666666,172.98249833333333,"[302.896105,2.0,214.05139]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_400_mbps,IM,1-1,2007,13.164875000000002,42127.600000000006,1,1,1,1,1.0,1.0,265.39969,[265.39969],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
service_rate_400_mbps,IM,1-1,2008,10.4200920173125,33344.2944554,3,3,2,2,1.0,1.0,29.11765766666667,"[65.739737,2.0,19.613236]",29107059cc7d7929ac572e9b29715d318318e8bf69af800b83ec6ef119905091
service_rate_400_mbps,IM,1-5,2001,9.475815996281247,30322.61118809999,1,1,1,1,1.0,1.0,12.517121,[12.517121],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_400_mbps,IM,1-5,2002,10.959967905656248,35071.89729809999,4,4,4,4,1.0,1.0,12.52529725,"[2.000002,15.962833,16.168755,15.969599]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_400_mbps,IM,1-5,2003,7.541347255281249,24132.311216899994,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_400_mbps,IM,1-5,2004,9.405121790249996,30096.38972879999,2,2,2,2,1.0,1.0,15.515087999999999,"[15.079555,15.950621]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_400_mbps,IM,1-5,2005,8.934467799406248,28590.296958099992,1,1,1,1,1.0,1.0,12.248422,[12.248422],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_400_mbps,IM,1-5,2006,10.653179830062497,34090.17545619999,3,3,3,3,1.0,1.0,14.489986000000002,"[12.967534,16.379605,14.122819]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_400_mbps,IM,1-5,2007,7.394153059374997,23661.289789999988,1,1,1,1,1.0,1.0,15.471119,[15.471119],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
service_rate_400_mbps,IM,1-5,2008,10.274867330437496,32879.57545739999,3,3,2,2,1.0,1.0,14.927224666666667,"[15.811166,14.285843,14.684665]",29107059cc7d7929ac572e9b29715d318318e8bf69af800b83ec6ef119905091
service_rate_400_mbps,IM,1-6,2001,6.026612868749998,19285.161179999996,1,1,1,1,1.0,1.0,12.517121,[12.517121],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_400_mbps,IM,1-6,2002,7.273947803125,23276.63297,4,4,4,4,1.0,1.0,12.52529725,"[2.000002,15.962833,16.168755,15.969599]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_400_mbps,IM,1-6,2003,3.6644878828124985,11726.361224999995,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_400_mbps,IM,1-6,2004,6.0814342953125,19460.589744999997,2,2,2,2,1.0,1.0,15.515087999999999,"[15.079555,15.950621]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_400_mbps,IM,1-6,2005,5.260501265624998,16833.604049999994,1,1,1,1,1.0,1.0,12.248422,[12.248422],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_400_mbps,IM,1-6,2006,6.902367324999999,22087.575439999997,3,3,3,3,1.0,1.0,14.489986000000002,"[12.967534,16.379605,14.122819]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_400_mbps,IM,1-6,2007,3.7103405593749983,11873.089789999995,1,1,1,1,1.0,1.0,15.471119,[15.471119],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
service_rate_400_mbps,IM,1-6,2008,6.49041419278125,20769.3254169,3,3,2,2,1.0,1.0,14.927224666666667,"[15.811166,14.285843,14.684665]",29107059cc7d7929ac572e9b29715d318318e8bf69af800b83ec6ef119905091
service_rate_1600_mbps,FTP3,1-1,2001,24.043125,15387.6,1,1,0,1,1.0,0.0,131.173313,[131.173313],aa7cc335e827996c11bc094b10023d7647b9b8f767fd5483e93841b61abffb75
service_rate_1600_mbps,FTP3,1-1,2002,9.107499999999998,5828.799999999999,0,0,0,0,,,,[],0536fbf5e538aebed8259f3c10d2b3fe8927f6ed2563d91cd485f36110f4c109
service_rate_1600_mbps,FTP3,1-1,2003,55.081953125,35252.45,4,4,4,4,1.0,1.0,20.89928375,"[41.602878,13.351896,5.460978,23.181383]",de8ab75d1554fd6b70a3d40ffa34abefffbd5d9579c30446a003bb7c5dfdd569
service_rate_1600_mbps,FTP3,1-1,2004,23.49625,15037.6,2,2,1,1,1.0,1.0,30.440101,"[54.883455,5.996747]",4c013c479aef16180842a66c8f863af584449cb5f9a6717f6f520e64abdefce9
service_rate_1600_mbps,FTP3,1-1,2005,36.68671273453125,23479.4961501,3,3,1,2,1.0,0.5,54.40606233333333,"[2.5,120.783674,39.934513]",38d8ccb906bac691f69971ceefa942f6527ecc6ebdec2450d6401dbd8a85862d
service_rate_1600_mbps,FTP3,1-1,2006,26.492518363906253,16955.211752900002,3,3,1,3,1.0,0.3333333333333333,101.20758033333334,"[2.5,151.017806,150.104935]",27405965b0d178054267957af0f9516768c64f0edd70527d692470e0133e1c10
service_rate_1600_mbps,FTP3,1-1,2007,48.882769625,31284.972560000002,4,4,3,4,1.0,0.75,36.911598749999996,"[11.486099,131.160296,2.5,2.5]",ee04a76550ca6d843f7c59d0fb38e144144030ebb43a1d53d991dae3a1772f10
service_rate_1600_mbps,FTP3,1-1,2008,26.378281250000004,16882.100000000002,6,6,0,3,1.0,0.0,93.840516,"[136.873974,132.721441,105.261324,79.113247,73.955588,35.117522]",45c1d238c9fab5a637dd04b45080ee199513a0c25b327a909d8cd841b219c80d
service_rate_1600_mbps,FTP3,1-5,2001,11.811653031250001,7559.457940000001,1,1,1,1,1.0,1.0,16.244742,[16.244742],aa7cc335e827996c11bc094b10023d7647b9b8f767fd5483e93841b61abffb75
service_rate_1600_mbps,FTP3,1-5,2002,8.48728927828125,5431.8651381,0,0,0,0,,,,[],0536fbf5e538aebed8259f3c10d2b3fe8927f6ed2563d91cd485f36110f4c109
service_rate_1600_mbps,FTP3,1-5,2003,18.698862859375,11967.27223,4,4,4,4,1.0,1.0,12.22071275,"[16.674307,13.423325,5.532407,13.252812]",de8ab75d1554fd6b70a3d40ffa34abefffbd5d9579c30446a003bb7c5dfdd569
service_rate_1600_mbps,FTP3,1-5,2004,13.7493539140625,8799.586505,2,2,1,1,1.0,1.0,15.51153,"[14.954884,16.068176]",4c013c479aef16180842a66c8f863af584449cb5f9a6717f6f520e64abdefce9
service_rate_1600_mbps,FTP3,1-5,2005,20.46577124515625,13098.0935969,3,3,2,2,1.0,1.0,15.539688333333332,"[13.25802,15.855103,17.505942]",38d8ccb906bac691f69971ceefa942f6527ecc6ebdec2450d6401dbd8a85862d
service_rate_1600_mbps,FTP3,1-5,2006,14.212992296875,9096.31507,3,3,3,3,1.0,1.0,16.014055666666668,"[16.776568,16.089235,15.176364]",27405965b0d178054267957af0f9516768c64f0edd70527d692470e0133e1c10
service_rate_1600_mbps,FTP3,1-5,2007,20.62228916109375,13198.2650631,4,4,4,4,1.0,1.0,15.157223,"[16.557528,16.231725,15.325367,12.514272]",ee04a76550ca6d843f7c59d0fb38e144144030ebb43a1d53d991dae3a1772f10
service_rate_1600_mbps,FTP3,1-5,2008,25.59425333109375,16380.3221319,6,6,3,3,1.0,1.0,13.911945000000001,"[16.945403,12.79287,15.332753,14.184676,9.027017,15.188951]",45c1d238c9fab5a637dd04b45080ee199513a0c25b327a909d8cd841b219c80d
service_rate_1600_mbps,FTP3,1-6,2001,7.925403031249999,5072.2579399999995,1,1,1,1,1.0,1.0,16.244742,[16.244742],aa7cc335e827996c11bc094b10023d7647b9b8f767fd5483e93841b61abffb75
service_rate_1600_mbps,FTP3,1-6,2002,5.602188765625,3585.40081,0,0,0,0,,,,[],0536fbf5e538aebed8259f3c10d2b3fe8927f6ed2563d91cd485f36110f4c109
service_rate_1600_mbps,FTP3,1-6,2003,17.228483328124998,11026.229329999998,4,4,4,4,1.0,1.0,12.22071275,"[16.674307,13.423325,5.532407,13.252812]",de8ab75d1554fd6b70a3d40ffa34abefffbd5d9579c30446a003bb7c5dfdd569
service_rate_1600_mbps,FTP3,1-6,2004,9.8631039140625,6312.3865049999995,2,2,1,1,1.0,1.0,15.51153,"[14.954884,16.068176]",4c013c479aef16180842a66c8f863af584449cb5f9a6717f6f520e64abdefce9
service_rate_1600_mbps,FTP3,1-6,2005,16.447233328124998,10526.229329999998,3,3,2,2,1.0,1.0,15.539688333333332,"[13.25802,15.855103,17.505942]",38d8ccb906bac691f69971ceefa942f6527ecc6ebdec2450d6401dbd8a85862d
service_rate_1600_mbps,FTP3,1-6,2006,11.029867296875,7059.11507,3,3,3,3,1.0,1.0,16.014055666666668,"[16.776568,16.089235,15.176364]",27405965b0d178054267957af0f9516768c64f0edd70527d692470e0133e1c10
service_rate_1600_mbps,FTP3,1-6,2007,17.228483328124998,11026.229329999998,4,4,4,4,1.0,1.0,15.157223,"[16.557528,16.231725,15.325367,12.514272]",ee04a76550ca6d843f7c59d0fb38e144144030ebb43a1d53d991dae3a1772f10
service_rate_1600_mbps,FTP3,1-6,2008,21.70800333109375,13893.1221319,6,6,3,3,1.0,1.0,13.911945000000001,"[16.945403,12.79287,15.332753,14.184676,9.027017,15.188951]",45c1d238c9fab5a637dd04b45080ee199513a0c25b327a909d8cd841b219c80d
service_rate_1600_mbps,IM,1-1,2001,10.124625,32398.8,1,1,1,1,1.0,1.0,175.945692,[175.945692],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_1600_mbps,IM,1-1,2002,15.911203125000002,50915.850000000006,4,4,3,4,1.0,0.75,183.1348195,"[83.652378,219.391404,125.097326,304.39817]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_1600_mbps,IM,1-1,2003,7.253125,23210.0,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_1600_mbps,IM,1-1,2004,12.996125,41587.6,2,2,2,2,1.0,1.0,108.943659,"[28.508126,189.379192]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_1600_mbps,IM,1-1,2005,10.124625,32398.8,1,1,1,1,1.0,1.0,170.676993,[170.676993],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_1600_mbps,IM,1-1,2006,15.8890066855,50844.8213936,3,3,2,3,1.0,0.6666666666666666,171.48249833333333,"[301.396105,0.5,212.55139]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_1600_mbps,IM,1-1,2007,12.996125,41587.6,1,1,1,1,1.0,1.0,263.89969,[263.89969],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
service_rate_1600_mbps,IM,1-1,2008,10.241967017312499,32774.2944554,3,3,2,2,1.0,1.0,27.61765766666667,"[64.239737,0.5,18.113236]",29107059cc7d7929ac572e9b29715d318318e8bf69af800b83ec6ef119905091
service_rate_1600_mbps,IM,1-5,2001,9.382065996281247,30022.61118809999,1,1,1,1,1.0,1.0,11.017121,[11.017121],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_1600_mbps,IM,1-5,2002,10.547479318999997,33751.93382079999,4,4,4,4,1.0,1.0,11.02529675,"[0.5,14.462833,14.668755,14.469599]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_1600_mbps,IM,1-5,2003,7.541347255281249,24132.311216899994,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_1600_mbps,IM,1-5,2004,9.217621790249996,29496.38972879999,2,2,2,2,1.0,1.0,14.015087999999999,"[13.579555,14.450621]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_1600_mbps,IM,1-5,2005,8.849646368156248,28318.868378099993,1,1,1,1,1.0,1.0,10.748422,[10.748422],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_1600_mbps,IM,1-5,2006,10.371929830062497,33190.17545619999,3,3,3,3,1.0,1.0,12.989986,"[11.467534,14.879605,12.622819]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_1600_mbps,IM,1-5,2007,7.300403059374997,23361.289789999988,1,1,1,1,1.0,1.0,13.971119,[13.971119],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
service_rate_1600_mbps,IM,1-5,2008,9.993617330437498,31979.575457399995,3,3,2,2,1.0,1.0,13.427224666666667,"[14.311166,12.785843,13.184665]",29107059cc7d7929ac572e9b29715d318318e8bf69af800b83ec6ef119905091
service_rate_1600_mbps,IM,1-6,2001,5.932862868749998,18985.161179999996,1,1,1,1,1.0,1.0,11.017121,[11.017121],d997b4c70fc1472c08b7428ee30e5f2f78597736a5ebb12049c0e467b9cc6b25
service_rate_1600_mbps,IM,1-6,2002,6.86145921646875,21956.6694927,4,4,4,4,1.0,1.0,11.02529675,"[0.5,14.462833,14.668755,14.469599]",682540789ad332b510e9d8af3c13dab2bb300bba717b88e94a40b1678b0d5283
service_rate_1600_mbps,IM,1-6,2003,3.6644878828124985,11726.361224999995,0,0,0,0,,,,[],e6f95ce79049befdd15ce22dd43058e9dcdd655341f79c8ebff1ddbb8b7264b2
service_rate_1600_mbps,IM,1-6,2004,5.893934295312498,18860.589744999994,2,2,2,2,1.0,1.0,14.015087999999999,"[13.579555,14.450621]",130fc38a45419d6c343e433a8abf333e6b2f5c7454daf9b25e1a4a5eaf63c279
service_rate_1600_mbps,IM,1-6,2005,5.166751265624998,16533.604049999994,1,1,1,1,1.0,1.0,10.748422,[10.748422],e6dd3705e6c97b24044382a0af0675e271c6b1cac6a4afd4d99a5299c0b96c2b
service_rate_1600_mbps,IM,1-6,2006,6.621117324999999,21187.575439999997,3,3,3,3,1.0,1.0,12.989986,"[11.467534,14.879605,12.622819]",500975355d4181d0da2cd9efd0605af41b7120f219aad09a6278a826507444a6
service_rate_1600_mbps,IM,1-6,2007,3.6165905593749983,11573.089789999995,1,1,1,1,1.0,1.0,13.971119,[13.971119],5640d4fd1e7c8849a8b63bee85060b5c5b14e539489637a8ede99c084f1ff6ea
