scenario,traffic_id,case_id,seed_count,mean_power_unit,power_sd_across_seeds,gain_vs_1_1,gain_ci95_low,gain_ci95_high,arrived_count,delivered_count,completion_rate_pooled,pdb_satisfied_count,pdb_eligible_count,pdb_ratio_pooled,delay_mean_ms_pooled,delay_p90_ms_pooled
nominal,FTP3,1-1,64,43.52001644116455,16.61203543192539,,,,212,212,1.0,126,173,0.7283236994219653,51.451657113207546,126.5898015
nominal,FTP3,1-2,64,41.445184283049315,17.67891854328877,0.04767535326923045,0.01063130912722174,0.08618136541356802,212,212,1.0,114,173,0.6589595375722543,62.194611155660375,143.8270131
nominal,FTP3,1-3,64,41.445184283049315,17.67891854328877,0.04767535326923045,0.01063130912722174,0.08618136541356802,212,212,1.0,114,173,0.6589595375722543,62.194611155660375,143.8270131
nominal,FTP3,1-4,64,38.881612091513674,18.258299557808865,0.10658094203437662,0.06841348666739061,0.14913467576366274,212,212,1.0,114,173,0.6589595375722543,62.194611155660375,143.8270131
nominal,FTP3,1-5,64,22.53543487609619,6.9145777410296345,0.4821822986541784,0.44007096532445517,0.5193426394425021,212,212,1.0,173,173,1.0,16.776879433962264,19.755995100000003
nominal,FTP3,1-6,64,19.29157849420166,7.008042858753415,0.5567194116233327,0.5205527081876663,0.5904007835724621,212,212,1.0,173,173,1.0,16.776879433962264,19.755995100000003
nominal,IM,1-1,64,11.135344053631348,3.0110512338163904,,,,103,103,1.0,82,88,0.9318181818181818,166.28284563106797,294.0651214
nominal,IM,1-2,64,9.61688587672412,3.2715134535914454,0.136363831202148,0.12100544988829555,0.15457428609868487,103,103,1.0,78,88,0.8863636363636364,172.87338622330097,299.9886764
nominal,IM,1-3,64,9.61688587672412,3.2715134535914454,0.136363831202148,0.12100544988829555,0.15457428609868487,103,103,1.0,78,88,0.8863636363636364,172.87338622330097,299.9886764
nominal,IM,1-4,64,5.894352944532715,3.3914364956310914,0.47066270102264984,0.4339766008664512,0.5125443894775954,103,103,1.0,78,88,0.8863636363636364,172.87338622330097,299.9886764
nominal,IM,1-5,64,8.864194662128904,1.1300393318046942,0.20395861866179155,0.16241968943383947,0.2410973800759209,103,103,1.0,88,88,1.0,13.574143203883494,15.918542200000001
nominal,IM,1-6,64,5.159871870233886,1.1697478456282533,0.5366221424877125,0.5133871623961456,0.5576005642057026,103,103,1.0,88,88,1.0,13.574143203883494,15.918542200000001
