traffic_id,seed,avg_power_unit,traffic_sha256
FTP3,1048,45.97838251265624,9fc8ed31605ce3534e59c6f025b8d137d4befd9516eb812ca8e6d24d770a0f73
FTP3,1049,62.79133996875,22c3fdba0d5d053266cd9b770558ee7585ebea2d9da62bc6de399b52e3851734
FTP3,1050,52.95328209703125,27af86737e0469321f323584f65822f35b44e019039ea8eae5b3e0299320ca1b
FTP3,1051,44.86428735421875,72feda41bae0824b7f368d6b0c90f63abc2e0c0d2b44b024c419d2603420a3a8
FTP3,1052,36.13865045015625,4214349a714dfecd14ebdd583ffcc0988e69816eafbc1dfaf3b9c4f018011330
FTP3,1053,43.414197314374995,4141643e4333147fe5a140d667558a1920eda49af67cc4f25e2956f7a0bcde98
FTP3,1054,44.874677168906246,c3f8b1251016df5826dce25f71c7c5dfb2b774504ec26252e8703fe71af3b440
FTP3,1055,75.484219123125,612a648e6c39a29fa1d10fad47162893fd01950836ee02dd77989843a1e77568
FTP3,1056,94.463703875,9c9e677e544d8373471ed9300a93ed55560543892ed3472660570e05ecdd124b
FTP3,1057,92.1832411940625,0435ad5f47bfdbfc124c090a078a0f4768df440516675a419e3fe55ccc05c3ae
FTP3,1058,57.18177225484375,23eb2f3575b79ced8624d8f04fceedce16aba4e4a99eae51778a886e048f6a95
FTP3,1059,73.55660588875,4f3916bcc25c407e81b2ef6cabae64ebb91a9476751a386282813b9b08c7f0d5
FTP3,1060,81.16504491218748,7b3f0c46b36357116ffd129b08dc1fd4340b8852c9c18a613834d798cedfd3ba
FTP3,1061,75.14841022312501,05481c585458e9625fc0785238f6bad5ed004943a5d452f9c4536f3a9a9760ec
FTP3,1062,64.0348197090625,c4af21804b31b9f910c1911dc54852259d7ff0ee6f6dc61cd22a8721a48da08d
FTP3,1063,38.71049232640625,e098b766d5bfca71e94280a5c03d3a5f02f9f38d7bf3161d3387d69ef385161b
FTP3,1064,68.87443087390626,1ebd58e830a5e7da2f649e7bee3a375c72c64806c58a70e3f76a9d9a1777e1f6
IM,1001,18.07239397812501,9430acf4d71e09c80a2cc85a31e7211044bfd1c2c2d71a64aaa301b323b0a02b
IM,1002,21.04779350878126,fed7f4a040e90a1dacf0aab4ed4c699829d5e2ba226e6db81a8dc5ff0d2aa7f2
IM,1003,30.606809,00e9a16ea795d779e8c86fa9bb37e1c3cb5665bbd8baccb27522b414889ba43a
IM,1004,21.385119381843754,4eee956a337a0647f6ccabe80f174f986c0f130a1f2cb362a52cff4b3e06b783
IM,1005,18.691869414656253,f836270220b6c09661e2dccf89feaa8952c59643f7ec7639da215db6d79dffc7
IM,1006,15.412746691812497,62b4c64a45d6940cd171844d0cc992f1ce431e3f6c6efc7597afe4171c7f5909
IM,1007,15.050277946875,526e2915967165192fbc2e6c5304b2d421bf7a8e9a0321e0de002c6d827a940d
IM,1008,17.903938625000006,bf8e90f32f6e403a96cdcb9b39746b36596389e86839ff581ef8c0194096b304
IM,1009,27.382476444343762,7d1c0a3b98abc7413c3a261eead8750d23aa17a50fc3a6b51d05e683b57b71da
IM,1010,21.073728759375005,0f1f07778d86aa1cb0f1a203a4ba203a148f514568f0187b632ab0fab7537692
IM,1011,21.756012234968754,480470adb016a632676b0212c045a35e34edd6cfb00d19c6a09e1c280a53d522
IM,1012,19.811389498437503,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
IM,1013,25.786088080656256,32c72b8b2fcb64ba3221589faa358b75f435002335ca5a7e5074be3cbb6b254e
IM,1014,41.20587085840625,57230bb1bfab97f2a0237d99c5c7af82dde4122d4761663f4616751080004dae
IM,1015,29.98653177696876,bf67c06894aa6068cf0e9896405b36e3ccc16d8c98e1ef5a4569673883ee7582
IM,1016,25.949641654093757,7882e23233b2b60064d7e77682e42fafce9d3778fe1d8aed19c34c4608504159
IM,1017,21.307103759375014,556b92892b4b948c0b10adfc8bc689adb048fe2b1af9590348bb6a2d07325d97
IM,1018,18.092445311531257,319be9bbb2c28f7a317c7ef2622146771d8a7b5bd8b9277e761b69bbf5854d8c
IM,1019,26.35262602693751,3ed8ea05f77cacda73961ccc1b47fa64661d29d5849b257322361f2224c55642
IM,1020,15.808023476562498,9f5a77689a176c94a1f4bd367c761905d81b90234decad2e6c99f04f0b636fc6
IM,1021,30.20316837246876,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
IM,1022,22.78162279190625,45d3db62d61c7d20e187490b1e8399710147af2c1767c9fb15746b56fd756ef2
IM,1023,21.296947509375006,306f5bc75fd32aeb29661f0abb01d924b23b0cbb28d780557cb827fe180d334e
IM,1024,30.55255594506251,a4ad7f92fa62a44cce84eb5c61939aac8ca708187fcdcfcd1eed9e03dc1028b8
IM,1025,26.652754694343756,1b152ca3b9a066c35cc082a63e1cb9193a2067a815a108385d3953e0f2917063
IM,1026,29.582849723249996,062dba369179d936dd401a7a4cc770a10c4eeb23f519b066670483afe5289278
IM,1027,27.996085816812506,90653b99453fe0ee0d6095b94709c83b20636a068b73cac656e026ca28ca0efa
IM,1028,28.034041175000013,3e37a112ade938f373697b748900021ac8e57dd9be9c171e6f290a5badafcba4
IM,1029,25.179583619343763,25507ef2c38bb8677bca2bcca6f268fd2f13cc9b7be38c10e3020821da44180a
IM,1030,37.72110686296875,96f5342ffe2816487b472242efea79a7432ce5f3765c5a3c95fd0373dffaa244
IM,1031,30.39273086740626,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
IM,1032,25.543925143375006,fc358eb7880767f6f1bbba495b57ce3b25aaa45e3968cf80be5195b18056f689
IM,1033,20.926054656250006,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
IM,1034,15.479396241218756,0c6acd47f16dad175737a3d64efe8118bd4083e913301f3f838e261864232c11
IM,1035,25.311284516218755,1e1b08f9beb064df2383befa09a2d2802c1848d1c18a4d306a5d03502c008015
IM,1036,22.235617151937504,a0723963f0b8528010109bf69b058e5045cbc3a808dc89cd34d7f240bf136604
IM,1037,27.66354565000001,5fd4ce6e37d18f80f80e5adcd40c47000ae31005b1e818cae07483c33a4b4794
IM,1038,30.95382459865626,d573b0f0caf37840d976dbf6431a142e4314df290863161ad5328a7fde35a891
IM,1039,27.770846974406254,fd6941408e266c611388e4a2780adf9ab6674d92550d053d2d7f64ebbdbafd07
IM,1040,30.93662595625001,68ca7b0e3480e0221bf34309f0cf78704c9d5eec0c3e9ecb1d89cb85e669b5c7
IM,1041,27.796628238468756,fd88be1be03817ff14582416d4d2aaa421e516111555b04282ef27a81acdda10
IM,1042,24.689956393750013,de646cd8e9067faa9dd5789998062d51be1092abca8d7fd1eedc0587759fde5f
IM,1043,15.190215446874998,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
IM,1044,36.42148525878125,3c391600ed5436ff2d4a36770b490cfc8bdae5f5b6fe1f30be377db54e09309b
IM,1045,24.331842559968763,dce0559ffbbb13d9308379f35af716591345d0c0a5b9d0286f717f6301dce857
IM,1046,24.05211935409376,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
