traffic_id,step,from_mean_power_unit,to_mean_power_unit,step_relative_reduction,step_ci95_low,step_ci95_high,baseline_normalized_contribution_pp
FTP3,independent_wus_trigger_at_100ms_tail,43.52001644116455,59.44775881982178,-0.365986589186845,-0.4641165616701166,-0.2795898433966384,-36.59865891868449
FTP3,timer_100ms_to_8ms,59.44775881982178,22.53543487609619,0.6209203622898873,0.6041713121857579,0.6357759712110862,84.81688878410233
FTP3,total_case_1_1_to_1_5,43.52001644116455,22.53543487609619,0.4821822986541784,0.4415397496958705,0.5194860597758483,48.21822986541785
FTP3,non_ee_to_ee_measurement,22.53543487609619,19.29157849420166,0.14394469863704995,0.1314125184447824,0.158354565293098,7.453711296915422
FTP3,total_case_1_1_to_1_6,43.52001644116455,19.29157849420166,0.5567194116233327,0.521137624530839,0.5887999452802157,55.67194116233326
IM,independent_wus_trigger_at_100ms_tail,11.135344053631348,24.828692278650397,-1.2297193655685486,-1.3856393890688046,-1.0954999467550688,-122.97193655685484
IM,timer_100ms_to_8ms,24.828692278650397,8.864194662128904,0.6429858422406316,0.6311367081023749,0.6539092862424816,143.367798423034
IM,total_case_1_1_to_1_5,11.135344053631348,8.864194662128904,0.20395861866179155,0.16282371765359305,0.24074648150408595,20.395861866179153
IM,non_ee_to_ee_measurement,8.864194662128904,5.159871870233886,0.41789727472042626,0.4036101656974479,0.43241420209275294,33.26635238259209
IM,total_case_1_1_to_1_6,11.135344053631348,5.159871870233886,0.5366221424877125,0.5123994575348659,0.5574418586436789,53.66221424877124
