traffic_id,case_id,seed_count,increment:mr_sleep_transition,increment:serving_ee,increment:serving_ee_transition,interval:LR:light,interval:LR:micro,interval:MR:MEASUREMENT,interval:MR:PDCCH,interval:MR:PDSCH,interval:MR:deep,interval:MR:light,interval:MR:micro,total
FTP3,1-1,8,2.548828125,0.0,0.0,0.0,0.0,0.890625,33.686586640625,6.73828125,0.6914756187109374,0.07744424609375,0.0344209482421875,44.667661828671875
FTP3,1-5,8,4.169921875,0.0,0.0,0.1981736220703122,0.0,1.31919646875,6.8863603515625,7.03125,0.9544740508789064,0.55604266015625,0.053989962890625,21.169408991308593
FTP3,1-6,8,2.294921875,0.225,0.1875,0.1981736220703122,0.0,0.0,6.8863603515625,7.03125,0.9834297236328126,0.2734375,0.0,18.080073072265623
IM,1-1,8,2.794921875,0.0,0.0,0.0,0.0,1.4624999999999995,4.625767671875,0.10546875,1.035323586859375,0.0,0.0,10.023981883734375
IM,1-5,8,3.435546875,0.0,0.0,0.21131544199218671,0.0,1.4953124999999996,1.97684151953125,0.09375,1.0572368861054688,0.11010044609375,0.0372907388671875,8.41739440758984
IM,1-6,8,0.904296875,0.225,0.1875,0.21131544199218671,0.0,0.0,1.98828125,0.09375,1.0762382812500002,0.0265625,0.003515625,4.716459973242186
